Date,Open,High,Low,Close,Volume
2019-05-22 09:35:00,126.62,126.87,126.52,126.725,551486.0
2019-05-22 09:40:00,126.74,126.83,126.59,126.78,202787.0
2019-05-22 09:45:00,126.78,126.99,126.77,126.93,237609.0
2019-05-22 09:50:00,126.93,127.07,126.84,126.97,188140.0
2019-05-22 09:55:00,126.96,127.18,126.89,127.15,210403.0
2019-05-22 10:00:00,127.17,127.34,127.12,127.33,230057.0
2019-05-22 10:05:00,127.3155,127.33,127.2,127.2,147699.0
2019-05-22 10:10:00,127.2288,127.26,127.2288,127.25,212600.0
2019-05-22 10:15:00,127.23,127.25,127.17,127.22,190373.0
2019-05-22 10:20:00,127.23,127.89,127.2,127.3632,521816.0
2019-05-22 10:25:00,127.36,127.528,127.24,127.5123,230128.0
2019-05-22 10:30:00,127.51,127.73,127.44,127.44,247181.0
2019-05-22 10:35:00,127.44,127.58,127.37,127.425,144965.0
2019-05-22 10:40:00,127.42,127.49,127.28,127.455,263558.0
2019-05-22 10:45:00,127.455,127.48,127.34,127.41,144531.0
2019-05-22 10:50:00,127.4119,127.5065,127.3635,127.46,145342.0
2019-05-22 10:55:00,127.46,127.61,127.43,127.4534,163066.0
2019-05-22 11:00:00,127.46,127.47,127.22,127.405,199029.0
2019-05-22 11:05:00,127.4,127.4,127.19,127.2603,144602.0
2019-05-22 11:10:00,127.27,127.45,127.2,127.35,114946.0
2019-05-22 11:15:00,127.36,127.52,127.3258,127.52,126418.0
2019-05-22 11:20:00,127.515,127.56,127.47,127.495,107532.0
2019-05-22 11:25:00,127.485,127.5351,127.38,127.39,111144.0
2019-05-22 11:30:00,127.39,127.6,127.36,127.5967,144768.0
2019-05-22 11:35:00,127.59,127.715,127.465,127.485,133418.0
2019-05-22 11:40:00,127.48,127.51,127.33,127.33,106790.0
2019-05-22 11:45:00,127.33,127.4349,127.2742,127.31,112448.0
2019-05-22 11:50:00,127.315,127.4111,127.21,127.31,109182.0
2019-05-22 11:55:00,127.32,127.42,127.21,127.25,158936.0
2019-05-22 12:00:00,127.2555,127.44,127.23,127.42,115036.0
2019-05-22 12:05:00,127.42,127.53,127.375,127.43,182076.0
2019-05-22 12:10:00,127.425,127.5,127.34,127.43,66992.0
2019-05-22 12:15:00,127.43,127.52,127.39,127.46,87606.0
2019-05-22 12:20:00,127.458,127.62,127.44,127.6,131952.0
2019-05-22 12:25:00,127.6,127.69,127.58,127.66,91124.0
2019-05-22 12:30:00,127.65,127.655,127.555,127.6,95076.0
